series_id,year,period,value,footnotes
WPUFD4,2025,M09,149.638,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
WPUFD4,2025,M08,149.526,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
WPUFD4,2025,M07,149.885,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
WPUFD4,2025,M06,148.801,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
WPUFD4,2025,M05,148.427,
WPUFD4,2025,M04,148.009,
WPUFD4,2025,M03,148.319,
WPUFD4,2025,M02,148.169,
WPUFD4,2025,M01,147.604,
WPUFD4,2024,M12,146.189,
WPUFD4,2024,M11,145.994,
WPUFD4,2024,M10,146.291,
WPUFD4,2024,M09,145.671,
WPUFD4,2024,M08,145.589,
WPUFD4,2024,M07,145.264,
WPUFD4,2024,M06,145.321,
WPUFD4,2024,M05,144.504,
WPUFD4,2024,M04,144.563,
WPUFD4,2024,M03,143.784,
WPUFD4,2024,M02,143.260,
WPUFD4,2024,M01,142.186,
WPUFD4,2023,M12,141.267,
WPUFD4,2023,M11,141.869,
WPUFD4,2023,M10,142.258,
WPUFD4,2023,M09,142.618,
WPUFD4,2023,M08,142.641,
WPUFD4,2023,M07,141.871,
WPUFD4,2023,M06,141.181,
WPUFD4,2023,M05,140.912,
WPUFD4,2023,M04,141.303,
WPUFD4,2023,M03,140.995,
WPUFD4,2023,M02,140.956,
WPUFD4,2023,M01,140.713,
WPUFD4,2022,M12,139.780,
WPUFD4,2022,M11,140.785,
WPUFD4,2022,M10,140.740,
WPUFD4,2022,M09,140.066,
WPUFD4,2022,M08,139.965,
WPUFD4,2022,M07,140.284,
WPUFD4,2022,M06,140.819,
WPUFD4,2022,M05,139.419,
WPUFD4,2022,M04,138.179,
WPUFD4,2022,M03,137.341,
WPUFD4,2022,M02,134.581,
WPUFD4,2022,M01,133.074,
WPUFD4,2021,M12,131.344,
WPUFD4,2021,M11,131.090,
WPUFD4,2021,M10,130.097,
WPUFD4,2021,M09,129.116,
WPUFD4,2021,M08,128.755,
WPUFD4,2021,M07,127.824,
WPUFD4,2021,M06,126.6,
WPUFD4,2021,M05,125.5,
WPUFD4,2021,M04,124.3,
WPUFD4,2021,M03,123.0,
WPUFD4,2021,M02,121.9,
WPUFD4,2021,M01,120.9,
WPUFD4,2020,M12,119.4,
WPUFD4,2020,M11,119.3,
WPUFD4,2020,M10,119.5,
WPUFD4,2020,M09,118.7,
WPUFD4,2020,M08,118.5,
WPUFD4,2020,M07,118.4,
WPUFD4,2020,M06,117.7,
WPUFD4,2020,M05,117.3,
WPUFD4,2020,M04,116.7,
WPUFD4,2020,M03,118.1,
WPUFD4,2020,M02,118.4,
WPUFD4,2020,M01,119.0,
WPUFD4,2019,M12,118.4,
WPUFD4,2019,M11,118.3,
WPUFD4,2019,M10,118.8,
WPUFD4,2019,M09,118.3,
WPUFD4,2019,M08,118.8,
WPUFD4,2019,M07,118.7,
WPUFD4,2019,M06,118.5,
WPUFD4,2019,M05,118.6,
WPUFD4,2019,M04,118.5,
WPUFD4,2019,M03,117.7,
WPUFD4,2019,M02,117.1,
WPUFD4,2019,M01,116.7,
WPUFD4,2018,M12,116.8,
WPUFD4,2018,M11,117.1,
WPUFD4,2018,M10,117.6,
WPUFD4,2018,M09,116.6,
WPUFD4,2018,M08,116.6,
WPUFD4,2018,M07,116.8,
WPUFD4,2018,M06,116.6,
WPUFD4,2018,M05,116.2,
WPUFD4,2018,M04,115.7,
WPUFD4,2018,M03,115.4,
WPUFD4,2018,M02,114.9,
WPUFD4,2018,M01,114.5,
WPUFD4,2017,M12,113.8,
WPUFD4,2017,M11,114.1,
WPUFD4,2017,M10,114.1,
WPUFD4,2017,M09,113.5,
WPUFD4,2017,M08,113.2,
WPUFD4,2017,M07,113.0,
WPUFD4,2017,M06,112.9,
WPUFD4,2017,M05,112.7,
WPUFD4,2017,M04,112.7,
WPUFD4,2017,M03,112.1,
WPUFD4,2017,M02,111.8,
WPUFD4,2017,M01,111.6,
WPUFD4,2016,M12,111.0,
WPUFD4,2016,M11,110.8,
WPUFD4,2016,M10,111.0,
WPUFD4,2016,M09,110.6,
WPUFD4,2016,M08,110.5,
WPUFD4,2016,M07,110.8,
WPUFD4,2016,M06,110.8,
WPUFD4,2016,M05,110.2,
WPUFD4,2016,M04,110.0,
WPUFD4,2016,M03,109.7,
WPUFD4,2016,M02,109.6,
WPUFD4,2016,M01,109.7,
WPUFD4,2015,M12,109.1,
WPUFD4,2015,M11,109.4,
WPUFD4,2015,M10,109.8,
WPUFD4,2015,M09,109.9,
WPUFD4,2015,M08,110.5,
WPUFD4,2015,M07,110.8,
WPUFD4,2015,M06,110.6,
WPUFD4,2015,M05,110.2,
